"","URUT","R101","R101_NAMA","R105","R108","R111","R201","R201A","R201B","B4K1","B4K3","B4K4","B4K5","B4K6","B4K7","LAMA_TINGG","R501","R502","R503","R504A","R504B","R504C","R505","R601A","R601B1","R601B2","R602A1","R602A2","R602B","R603","R604A","R604B","R604C","R604D","R604E","R604F","R604G","R605","R606","R607","R608","R609A","R609B","R609C","R610","R701A","R701B","R702A","R702B","R703A1","R703A2","R703B","R704A","R704B","R704C","R704D","R704E","R704F","R704G","R704H","R705A","R705B1","R705B2","R705B3","R705B4","R705B5","R705B6","R706A","R706B","R706C","R706D","R706E","R706F","R706G","R706H","R706I","R706J","R707A","R707B","R707C","R708","R801A","R801B","R801C","R801D","R802","R901","R902A","R902B1","R902B2","R902B3","R902B4","R902B5","R902C","R903","R1001A","R1001B","R1001C","R1002A","R1002B","R1002C","R1002D","R1002E","R1002F","R1002G","R1002H","R1002I","R1002J","R1003A","R1003B","R1003C","R1003D","R1003E","R1003F","R1003G","R1003H","R1003I","R1003J","R1004A","R1004B","R1004C","R1004D","R1004E","R1004F","R1005","R1101A1","R1101A2","R1101A3","R1101A4","R1101A5","R1101B1","R1101B2","R1101B3","R1101C","R1102","R1103AK2","R1103BK2","R1103CK2","R1103DK2","R1103EK2","R1103FK2","R1103GK2","R1103HK2","R1103IK2","R1103JK2","R1103AK3","R1103BK3","R1103CK3","R1103DK3","R1103EK3","R1103FK3","R1103GK3","R1103HK3","R1103IK3","R1103JK3","R1103AK4","R1103BK4","R1103CK4","R1103DK4","R1103EK4","R1103FK4","R1103GK4","R1103HK4","R1103IK4","R1103JK4","R1103AK5","R1103BK5","R1103CK5","R1103DK5","R1103EK5","R1103FK5","R1103GK5","R1103HK5","R1103IK5","R1103JK5","R1103AK6","R1103BK6","R1103CK6","R1103DK6","R1103EK6","R1103FK6","R1103GK6","R1103HK6","R1103IK6","R1103JK6","R1103AK7","R1103BK7","R1103CK7","R1103DK7","R1103EK7","R1103FK7","R1103GK7","R1103HK7","R1103IK7","R1103JK7","R1104A","R1104B","R1104C","R1105","R1106A","R1106B","R1107A","R1107B","R1108","R1201","R1202","R1203","R1204","R1205","R1206A","R1206B","R1207","R1208","R1209","R1210A","R1210B","R1210C","R1210D","R1210E","R1211","R1301A","R1301B","R1301C","R1302","R1303A","R1303B","R1303C","R1304","R1305A","R1305B","R1305C","R1305D","R1306","R1401A","R1401B","R1401C","R1401D","R1402","R1403A","R1403B","R1403C","R1404","R1405A","R1405B","R1405C","R1406","R1407A","R1407B","R1408","R1409A","R1409B","R1410","R1411A","R1411B","R1411C","R1412","R1501","R1502","R1601A","R1601B","R1602","R1603","R1604A","R1604B","R1605A","R1605B","R1605C","R1605D","R1605E","R1606","R1607A","R1607B","R1608A","R1608B","R1608C","R1609A","R1609B1","R1609B2","R1609B3","R1609B4","R1609B5","R1609B6","R1609C","R1610","R1611","R1612","R1613A","R1613B","R1613C","R1614","R1615","R1616"
"18743",18743,18,"Lampung",2,8,1,6,3,3,1,1,1,48,2,4,31,4,1,1,1,1,1,6,1,NA,NA,14,4,1,3,1,1,1,1,1,1,1,8,3,1,2,3,2,NA,5,1,NA,2,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,3,1,3,8,56,14,1,2,1,1,1,2,7,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,3,2,2,2,2,2,8,2,2,2,2,2,2,2,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,9,1,60,1,1,1,1,1,1,4,4,1,2,1,1,1,7,1,1,3,8,1,1,1,2,1,1,1,3,2,3,3,3,3,7,3,3,3,7,1,1,1,7,2,2,7,1,1,8,2,3,3,7,8,8,6,6,1,1,1,1,1,3,1,3,3,1,5,"CD",1,NA,"A",1,2,2,2,2,2,2,NA,4,4,4,2,NA,2,3,4,1
"60577",60577,71,"Sulawesi Utara",1,7,1,5,3,2,2,2,2,53,2,9,21,9,2,1,2,2,2,9,1,NA,NA,15,4,2,1,1,1,1,1,1,1,1,9,1,2,1,1,1,NA,9,2,1,2,NA,2,4,1,3,1,1,2,2,1,1,1,1,2,1,1,1,2,2,1,3,1,1,1,1,2,1,1,1,1,1,1,9,1,4,1,4,9,56,7,1,2,2,1,1,2,9,5,5,4,9,8,9,9,8,8,8,8,8,8,8,9,9,9,9,9,9,8,9,9,0,0,0,0,0,0,9,2,2,2,2,2,2,2,2,3,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,9,1,83,1,1,3,1,1,1,3,4,1,1,1,1,2,9,1,1,4,9,1,1,2,0,1,2,1,2,5,3,2,2,2,7,1,3,1,8,1,1,1,10,1,3,9,2,1,9,1,3,3,9,9,8,7,7,2,2,1,1,2,1,1,1,1,1,5,"B",1,NA,"D",1,2,2,2,1,1,2,"A",1,2,3,1,2,NA,3,2,2
"24514",24514,32,"Jawa Barat",2,10,1,4,1,3,1,1,1,81,2,8,81,8,1,2,1,2,1,8,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,2,NA,8,3,3,1,"diabetes, asam urat",2,3,NA,1,2,3,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,6,1,2,1,4,9,10,40,1,2,2,1,2,2,9,5,5,3,10,10,9,9,8,8,8,7,7,7,10,9,7,3,8,7,8,9,10,8,7,6,0,5,8,5,9,2,2,2,2,2,2,2,2,3,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,1,1,4,4,9,1,72,1,1,1,1,1,1,6,2,1,1,1,1,1,10,1,1,3,9,1,1,2,3,1,1,1,3,2,2,3,3,3,10,1,2,3,8,1,1,1,7,1,2,8,1,1,9,1,2,3,8,8,9,11,11,2,2,1,1,3,1,1,3,2,2,5,"X",1,NA,"A",1,2,2,2,2,2,2,NA,2,4,4,1,2,NA,2,4,1
"56839",56839,63,"Kalimantan Selatan",1,12,1,1,0,1,1,1,2,43,3,5,1,5,1,2,2,3,4,10,1,NA,NA,11,4,2,2,1,1,1,1,1,1,1,10,1,1,2,3,2,NA,10,2,2,2,NA,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,1,1,1,1,10,1,3,1,4,10,42,28,1,2,1,1,1,2,10,5,4,5,8,1,8,7,6,7,7,8,7,8,8,10,8,8,0,10,10,8,10,8,2,3,3,3,5,8,8,9,9,9,9,9,2,1,2,3,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,1,4,3,4,4,10,1,105,1,1,3,1,1,1,2,4,1,1,1,1,1,10,1,1,3,9,1,2,1,1,1,1,1,3,1,1,1,2,4,8,3,1,1,7,1,1,4,7,1,2,8,2,1,8,1,3,3,9,9,6,8,6,2,2,1,2,3,4,3,2,2,1,5,"B",1,NA,"A",1,2,2,2,2,2,2,NA,3,2,3,1,2,NA,1,4,1
"17183",17183,17,"Bengkulu",2,6,1,4,2,2,1,1,1,56,2,5,20,5,2,2,1,2,1,7,1,NA,NA,14,4,2,3,1,1,1,1,1,1,1,7,2,2,2,4,2,NA,7,2,1,2,NA,2,4,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,3,1,3,7,42,42,1,2,2,1,2,3,6,5,4,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,6,8,8,2,1,2,2,2,7,7,2,2,2,2,2,2,2,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,4,8,1,49,1,1,3,1,1,1,5,4,1,2,1,1,2,7,1,1,2,8,1,1,1,2,2,1,1,3,5,3,2,3,3,7,2,2,2,7,1,1,1,6,2,3,7,1,1,7,3,3,3,7,7,7,6,6,2,3,1,2,2,2,2,2,2,2,5,"BCX",1,NA,"BD",1,1,2,2,2,2,2,"A",4,1,3,2,NA,1,1,4,2
"17851",17851,18,"Lampung",2,5,1,4,1,3,2,2,2,30,2,4,30,4,2,1,1,2,1,5,2,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,5,3,4,5,2,2,2,NA,2,4,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,2,2,2,1,1,1,1,1,1,1,1,1,1,7,1,3,1,3,7,54,58,1,2,2,1,2,2,7,5,4,4,7,6,6,6,6,6,6,6,6,6,7,7,6,7,5,6,7,6,7,7,6,4,4,5,5,5,7,2,2,2,2,2,2,2,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,3,3,4,4,7,1,68,1,2,1,1,1,1,6,4,1,2,2,1,1,6,1,1,2,7,1,1,2,7,1,1,1,3,2,3,3,3,3,6,3,3,3,7,3,1,1,6,1,3,7,2,2,6,3,3,3,7,6,7,4,4,1,1,1,1,3,3,3,4,4,1,5,"D",1,NA,"BD",2,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,NA,2,2,4,4
"94",94,11,"Aceh",2,5,1,7,5,2,2,2,2,40,2,3,40,3,2,1,1,3,2,7,1,NA,NA,1,1,2,5,1,1,1,1,1,1,1,8,2,2,2,5,2,NA,9,2,2,2,NA,2,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,9,1,4,1,4,10,84,14,1,2,2,1,1,2,9,5,5,3,9,9,8,8,8,8,8,8,8,8,9,9,8,10,9,9,8,9,8,6,9,1,10,9,9,6,9,2,2,2,2,2,2,2,2,3,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,8,1,98,1,2,3,1,2,1,4,4,1,2,1,1,1,8,1,1,4,10,1,1,1,6,1,1,1,2,1,2,1,3,2,9,1,2,1,8,3,1,1,9,1,2,7,2,2,9,1,3,3,10,8,8,5,2,1,2,1,1,1,1,1,1,1,1,5,"C",1,NA,"D",2,NA,NA,NA,NA,NA,NA,NA,4,1,3,2,NA,2,1,4,1
"46498",46498,51,"Bali",1,4,1,2,1,1,1,1,1,78,2,3,78,3,2,1,1,1,1,7,1,NA,NA,7,2,1,3,1,1,1,1,2,2,1,8,3,3,2,5,2,NA,8,2,2,2,NA,2,4,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,3,1,3,8,56,14,1,2,2,1,2,2,8,5,5,5,8,8,9,9,9,7,7,8,8,8,10,10,8,7,8,6,8,7,8,8,5,5,7,7,7,6,8,2,2,2,2,2,2,2,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,8,1,45,1,1,3,1,1,2,3,4,2,2,1,2,2,6,1,1,2,8,1,1,1,3,1,1,1,3,3,3,3,3,3,7,3,3,3,7,1,1,3,4,1,2,8,2,2,8,2,3,3,8,8,8,4,4,1,1,1,1,1,1,1,1,1,1,1,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,1,4,1,2,NA,1,2,1,1
"41011",41011,35,"Jawa Timur",1,6,1,4,2,2,1,1,1,44,2,3,44,3,2,1,1,2,1,5,1,NA,NA,1,2,2,4,1,2,2,1,2,1,1,7,2,2,2,4,2,NA,5,2,2,2,NA,2,3,NA,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,1,3,10,84,14,1,2,2,1,2,2,8,5,5,1,10,9,10,10,8,8,8,8,8,7,10,10,10,7,10,7,10,10,10,10,6,1,1,1,1,1,10,2,2,2,2,2,2,2,2,3,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,10,1,130,3,2,1,1,1,2,4,4,1,1,1,1,2,8,1,1,1,8,2,3,1,1,1,1,1,3,1,3,3,3,2,8,3,3,3,7,2,1,1,6,2,2,7,1,1,7,2,3,3,8,10,8,7,2,1,2,1,1,1,1,1,3,2,1,5,"ABDX",1,NA,"ABD",2,NA,NA,NA,NA,NA,NA,NA,4,1,4,2,NA,2,1,4,1
"50589",50589,53,"Nusa Tenggara Timur",2,11,1,2,1,1,1,1,1,72,2,3,70,3,2,1,1,1,1,7,1,NA,NA,1,2,1,3,1,1,1,1,1,1,1,10,2,2,2,4,2,NA,9,1,NA,2,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,4,1,4,10,30,21,1,1,1,1,1,2,10,3,4,2,10,10,10,10,10,10,10,10,10,10,10,9,10,8,9,9,10,10,10,10,10,1,0,0,0,8,10,2,2,2,2,2,2,2,2,3,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,10,1,63,1,1,3,1,3,1,4,4,2,2,1,1,1,9,1,1,4,10,1,1,1,0,1,1,1,3,0,3,3,3,3,10,1,3,1,9,1,1,1,10,1,4,10,1,1,10,2,3,3,10,10,10,5,5,1,2,1,1,1,1,1,1,1,1,5,"BE",1,NA,"ABCDE",1,1,2,1,2,2,2,"AB",3,2,3,2,NA,1,1,3,1
"38335",38335,35,"Jawa Timur",1,8,1,4,2,2,1,1,1,41,2,4,14,4,2,2,1,1,1,9,1,NA,NA,7,1,2,3,2,2,1,1,1,2,2,8,1,1,2,3,2,NA,9,1,NA,2,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,3,9,63,21,1,2,2,1,2,2,9,5,4,4,9,9,5,8,7,8,8,9,9,9,9,9,8,9,9,9,10,8,8,6,1,1,2,1,1,1,9,2,2,2,2,2,2,2,2,3,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,4,4,4,9,1,64,1,1,1,1,1,1,4,3,1,1,1,1,1,9,1,1,2,9,1,1,1,1,1,1,1,3,1,3,3,3,3,10,2,2,3,9,1,1,1,8,1,2,8,1,2,9,3,3,3,9,9,9,8,8,1,2,1,1,4,4,1,1,4,1,5,"ABDX",1,NA,"ABE",1,2,2,2,2,2,2,NA,4,1,2,1,1,NA,2,4,3
"68572",68572,76,"Sulawesi Barat",2,10,1,6,3,3,1,1,1,56,2,4,20,4,2,2,1,3,1,5,1,NA,NA,1,2,2,4,1,1,1,1,1,1,1,6,1,1,2,3,2,NA,6,1,NA,2,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,3,2,3,8,35,30,1,2,2,1,2,2,7,5,3,5,9,9,8,9,8,8,9,8,8,8,9,9,8,7,7,8,8,7,8,8,8,5,0,7,3,7,8,2,2,2,2,2,2,2,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,9,1,160,1,1,3,1,1,1,5,4,1,1,1,1,1,8,1,1,3,8,2,2,2,3,1,1,1,3,2,2,2,2,2,8,1,3,2,8,2,1,3,6,2,2,8,2,2,7,2,3,3,7,8,9,8,8,1,2,1,2,4,2,2,3,3,2,5,"X",1,NA,"BCE",1,1,2,2,2,2,2,"F",4,1,4,1,2,NA,1,4,1
"16967",16967,17,"Bengkulu",2,9,1,5,3,2,2,2,2,46,2,3,20,3,2,1,1,3,1,7,1,NA,NA,17,4,2,5,1,1,1,1,1,2,1,7,3,2,2,2,2,NA,9,2,1,2,NA,2,4,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,3,1,1,1,1,1,2,1,2,1,1,1,1,8,1,3,1,3,9,20,28,1,1,2,1,2,2,6,5,5,4,8,9,10,10,6,9,10,9,9,10,6,9,10,10,9,8,10,5,9,9,4,5,8,10,9,5,8,2,2,2,2,2,1,2,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,4,1,4,7,1,96,1,1,3,1,1,1,5,1,1,1,1,1,1,9,1,1,3,9,1,1,1,9,1,1,1,3,5,3,3,3,3,8,2,3,2,8,1,1,1,8,1,3,7,2,2,7,3,3,3,9,7,9,9,9,1,1,1,1,4,1,4,1,4,2,5,"F",1,NA,"F",2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,3,4,1
"45648",45648,51,"Bali",1,4,1,5,1,4,2,2,2,38,2,3,19,3,2,2,1,2,1,7,1,NA,NA,1,6,1,3,1,1,1,1,1,1,1,9,3,2,2,4,2,NA,7,1,NA,2,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,1,1,1,1,1,1,8,1,3,1,3,9,84,28,2,2,2,1,2,2,7,5,5,5,5,6,10,10,5,5,6,5,5,6,9,9,8,3,5,6,7,6,9,5,5,5,2,5,5,5,9,2,2,2,2,2,2,2,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,9,1,47,1,1,1,1,3,1,6,4,1,2,2,1,1,7,1,1,1,8,1,1,1,4,1,1,1,3,2,2,3,2,2,6,2,2,2,7,1,1,1,7,1,2,7,2,2,7,2,3,3,7,7,8,6,6,1,3,2,NA,4,2,2,3,3,1,5,"CX",1,NA,"AE",1,2,2,2,2,2,2,NA,4,1,2,2,NA,1,1,2,1
"523",523,11,"Aceh",1,8,1,4,2,2,2,2,2,36,2,7,2,7,2,2,1,4,4,8,1,NA,NA,15,4,2,5,1,1,2,1,1,1,1,8,1,1,2,3,2,NA,10,3,2,2,NA,2,3,NA,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,4,1,1,1,1,9,1,4,2,3,9,63,30,1,2,2,1,1,2,7,5,5,4,10,10,10,10,5,5,5,5,5,5,6,10,7,3,10,10,10,10,10,5,0,0,0,9,2,5,9,1,2,2,2,2,2,2,2,3,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,1,4,3,4,4,10,1,40,1,2,3,1,1,1,1,4,1,2,1,1,2,10,1,1,4,10,1,1,3,4,1,2,2,1,7,1,1,1,2,9,1,1,2,9,2,1,1,7,1,3,9,3,1,9,1,1,3,7,9,7,7,1,1,1,1,1,1,1,2,3,4,3,5,"ABCD",2,4,NA,1,2,2,2,2,2,2,NA,4,2,4,1,2,NA,3,4,1
"21427",21427,21,"Kepulauan Riau",1,8,1,4,2,2,1,1,1,30,2,5,30,5,2,2,1,3,2,6,1,NA,NA,7,2,2,2,1,2,1,1,1,2,1,7,2,2,2,3,2,NA,6,1,NA,2,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,2,1,3,8,72,18,1,2,1,1,2,2,7,5,1,4,8,8,8,7,6,6,8,5,5,5,7,7,9,8,7,7,5,5,7,7,3,2,1,0,0,1,8,2,2,2,2,2,2,2,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,3,4,4,7,3,50,1,1,4,1,1,1,3,3,1,2,1,1,2,7,1,1,2,5,3,1,1,4,2,1,1,3,3,3,2,2,2,7,3,2,2,6,2,1,2,6,1,2,6,2,1,6,2,3,3,6,5,5,7,7,1,3,1,2,3,2,2,1,4,3,5,"X",1,NA,"A",1,2,2,2,2,1,2,"A",4,2,4,2,NA,2,1,4,1
"3818",3818,12,"Sumatera Utara",2,4,1,3,1,2,1,1,1,67,2,3,30,3,2,1,1,1,1,3,1,NA,NA,1,1,2,2,1,2,2,1,2,2,1,3,3,2,2,4,3,5,5,3,3,2,NA,2,4,2,2,1,1,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,3,2,2,1,1,1,2,2,1,1,1,1,1,3,1,2,1,3,8,56,42,1,2,2,1,2,1,7,5,3,1,10,8,7,9,7,5,7,5,5,7,8,10,8,1,8,7,10,7,10,9,8,1,0,1,2,4,9,1,1,1,1,1,2,2,2,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,3,1,4,5,1,35,1,2,3,1,1,1,6,2,2,2,1,1,2,3,1,1,1,6,3,1,1,2,1,3,2,2,5,1,1,1,1,3,3,3,1,6,1,1,3,6,1,2,5,3,2,4,1,3,3,6,7,9,3,0,1,1,1,1,4,2,1,1,4,1,1,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,NA,1,1,4,1
"73211",73211,94,"Papua",2,6,1,4,2,2,1,1,1,54,2,1,54,1,2,1,1,1,1,6,1,NA,NA,1,2,2,4,1,1,2,1,1,1,1,8,3,3,2,5,2,NA,7,1,NA,2,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,2,2,3,6,35,10,2,2,2,1,2,1,7,5,5,1,10,10,6,7,6,7,6,5,5,5,8,7,8,8,8,7,8,6,5,5,8,4,6,5,5,5,7,2,2,2,2,2,2,2,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,5,1,4,4,6,1,40,3,2,5,2,3,1,6,4,2,2,2,2,2,6,1,1,2,8,2,2,2,6,1,1,1,3,3,3,3,3,2,6,3,2,3,5,2,2,2,5,2,3,6,1,2,6,3,3,3,8,7,7,2,2,1,1,2,NA,4,4,4,4,4,3,1,NA,2,3,NA,2,NA,NA,NA,NA,NA,NA,NA,4,2,2,3,NA,NA,3,4,4
